"Timestamp","Which area/city do you live in?   (ALL CAPS)","Before this survey, had you heard of the term ""AQI"" (Air Quality Index)?  ","What do you think a HIGH AQI number (e.g., 350) means?  ","Which of these health issues do you think are linked to poor air quality? (Select all that apply)  ","On a scale of 1 to 5, how concerned are you about the health impact of air pollution?  "
"2025/08/01 8:28:13 pm GMT+5:30","NALLAKUNTA ","YES","The air quality is very bad/unhealthy.","Coughing / Throat irritation;Breathing problems / Asthma;Eye irritation;Skin problems","5 : Extremely concerned"
"2025/08/01 8:31:41 pm GMT+5:30","BANJARA HILLS","YES","The air quality is very bad/unhealthy.","Coughing / Throat irritation;Breathing problems / Asthma;Eye irritation;Skin problems","1 : Not at all concerned"
"2025/08/01 8:44:25 pm GMT+5:30","Secunderabad ","YES","The air quality is very bad/unhealthy.","Eye irritation","3 : Moderately concerned"
"2025/08/01 8:44:47 pm GMT+5:30","RAMNAGAR ","YES","The air quality is very bad/unhealthy.","Coughing / Throat irritation;Breathing problems / Asthma;Eye irritation;Heart-related issues;Skin problems","3 : Moderately concerned"
"2025/08/01 8:45:50 pm GMT+5:30","Chanda Nagar","YES","The air quality is very bad/unhealthy.","Coughing / Throat irritation;Breathing problems / Asthma;Eye irritation;Skin problems","3 : Moderately concerned"
"2025/08/01 8:49:09 pm GMT+5:30","SR NAGAR","YES","The air quality is very bad/unhealthy.","Coughing / Throat irritation;Breathing problems / Asthma;Eye irritation;Heart-related issues;Skin problems","4 : Very concerned"
"2025/08/01 8:49:34 pm GMT+5:30","KUKATPALLY ","YES","The air quality is very bad/unhealthy.","Coughing / Throat irritation;Breathing problems / Asthma;Eye irritation;Skin problems","5 : Extremely concerned"
"2025/08/01 8:53:30 pm GMT+5:30","MADHAPUR","YES","The air quality is very bad/unhealthy.","Coughing / Throat irritation;Breathing problems / Asthma;Eye irritation;Skin problems","4 : Very concerned"
"2025/08/01 8:53:37 pm GMT+5:30","Chintal","YES","The air quality is very bad/unhealthy.","Coughing / Throat irritation;Breathing problems / Asthma;Eye irritation;Heart-related issues;Skin problems","4 : Very concerned"
"2025/08/01 8:55:28 pm GMT+5:30","KPHB","NO","I'm not sure.","Coughing / Throat irritation;Breathing problems / Asthma;Eye irritation;Heart-related issues;Skin problems","4 : Very concerned"
"2025/08/01 8:56:38 pm GMT+5:30","Yea","YES","The air quality is very bad/unhealthy.","Heart-related issues","5 : Extremely concerned"
"2025/08/01 9:01:24 pm GMT+5:30","Miyapur","NO","The air quality is very bad/unhealthy.","Coughing / Throat irritation;Breathing problems / Asthma;Eye irritation;Heart-related issues;Skin problems","5 : Extremely concerned"
"2025/08/01 9:03:42 pm GMT+5:30","Kukatpally","YES","The air quality is very bad/unhealthy.","Coughing / Throat irritation;Breathing problems / Asthma;Eye irritation;Heart-related issues;Skin problems","5 : Extremely concerned"
"2025/08/01 9:04:40 pm GMT+5:30","Yousufguda","YES","I'm not sure.","Coughing / Throat irritation;Breathing problems / Asthma;Heart-related issues","5 : Extremely concerned"
"2025/08/01 9:05:25 pm GMT+5:30","HYDERABAD ","NO","The air quality is very good.","Coughing / Throat irritation;Breathing problems / Asthma;Eye irritation;Skin problems","3 : Moderately concerned"
"2025/08/01 9:06:08 pm GMT+5:30","Kompally ","YES","The air quality is very bad/unhealthy.","Breathing problems / Asthma","2 : Slightly concerned"
"2025/08/01 9:10:53 pm GMT+5:30","Secunderabad ","NO","I'm not sure.","I'm not sure","5 : Extremely concerned"
"2025/08/01 9:14:32 pm GMT+5:30","Manikonda ","YES","The air quality is very bad/unhealthy.","Coughing / Throat irritation;Breathing problems / Asthma;Eye irritation;Heart-related issues;Skin problems","3 : Moderately concerned"
"2025/08/01 9:16:21 pm GMT+5:30","Gachibowli","YES","The air quality is very bad/unhealthy.","Coughing / Throat irritation;Breathing problems / Asthma;Eye irritation;Skin problems","3 : Moderately concerned"
"2025/08/01 9:18:09 pm GMT+5:30","Gachibowli ","YES","The air quality is very bad/unhealthy.","Coughing / Throat irritation;Breathing problems / Asthma;Eye irritation","3 : Moderately concerned"
"2025/08/01 9:18:14 pm GMT+5:30","PRAGATI NAGAR, JNTU","YES","The air quality is very bad/unhealthy.","Coughing / Throat irritation;Breathing problems / Asthma;Eye irritation","5 : Extremely concerned"
"2025/08/01 9:44:08 pm GMT+5:30","THUKARAMAGATE","YES","I'm not sure.","Coughing / Throat irritation;Breathing problems / Asthma;Skin problems","3 : Moderately concerned"
"2025/08/01 9:46:14 pm GMT+5:30","RAMNAGAR","YES","The air quality is very bad/unhealthy.","Coughing / Throat irritation;Breathing problems / Asthma","4 : Very concerned"
"2025/08/01 9:54:27 pm GMT+5:30","SECUNDERABAD","NO","I'm not sure.","Coughing / Throat irritation;Breathing problems / Asthma;Skin problems","5 : Extremely concerned"
"2025/08/01 10:19:19 pm GMT+5:30","AMBERPET","NO","The air quality is very bad/unhealthy.","Coughing / Throat irritation;Breathing problems / Asthma;Eye irritation;Heart-related issues;Skin problems","4 : Very concerned"
"2025/08/01 10:22:58 pm GMT+5:30","Lb Nagar ","NO","The air quality is very good.","Coughing / Throat irritation;Breathing problems / Asthma;Eye irritation;Heart-related issues;Skin problems;I'm not sure","1 : Not at all concerned"
"2025/08/02 8:04:49 am GMT+5:30","THUKARAM GATE","YES","I'm not sure.","Eye irritation","5 : Extremely concerned"
"2025/08/02 8:39:16 am GMT+5:30","Miyapur ","YES","The air quality is very bad/unhealthy.","Coughing / Throat irritation;Breathing problems / Asthma","5 : Extremely concerned"
"2025/08/02 8:53:46 am GMT+5:30","nizampet","YES","The air quality is very bad/unhealthy.","Coughing / Throat irritation;Breathing problems / Asthma;Eye irritation","4 : Very concerned"
"2025/08/02 9:23:30 am GMT+5:30","MADHAPUR","YES","The air quality is very bad/unhealthy.","Coughing / Throat irritation;Breathing problems / Asthma;Eye irritation","4 : Very concerned"
"2025/08/02 10:57:43 am GMT+5:30","Gachinowli","YES","I'm not sure.","Coughing / Throat irritation;Breathing problems / Asthma;Eye irritation;Heart-related issues;Skin problems","5 : Extremely concerned"
"2025/08/02 12:57:59 pm GMT+5:30","RANGA REDDY","YES","The air quality is very bad/unhealthy.","Coughing / Throat irritation;Breathing problems / Asthma;Heart-related issues;Skin problems","5 : Extremely concerned"
"2025/08/02 1:00:40 pm GMT+5:30","Secunderabad ","YES","The air quality is very good.","Breathing problems / Asthma","3 : Moderately concerned"
"2025/08/02 1:01:12 pm GMT+5:30","LB NAGAR","YES","I'm not sure.","Coughing / Throat irritation;Breathing problems / Asthma;Eye irritation;Heart-related issues;Skin problems","3 : Moderately concerned"
"2025/08/02 1:12:22 pm GMT+5:30","MIYAPUR","YES","I'm not sure.","Heart-related issues","4 : Very concerned"
"2025/08/02 2:32:02 pm GMT+5:30","Bowenpally","YES","The air quality is very good.","Coughing / Throat irritation;Breathing problems / Asthma","4 : Very concerned"
"2025/08/02 10:33:42 pm GMT+5:30","MEDCHAL","YES","The air quality is very bad/unhealthy.","Coughing / Throat irritation;Skin problems","5 : Extremely concerned"
"2025/08/03 10:37:51 am GMT+5:30","Secunderabad ","YES","I'm not sure.","Coughing / Throat irritation;Breathing problems / Asthma;Skin problems","2 : Slightly concerned"
"2025/08/03 4:24:54 pm GMT+5:30","MEDCHAL ","YES","The air quality is very bad/unhealthy.","Coughing / Throat irritation;Breathing problems / Asthma;Eye irritation;Heart-related issues;Skin problems","5 : Extremely concerned"
"2025/08/03 4:42:28 pm GMT+5:30","HYDERABAD ","YES","The air quality is very bad/unhealthy.","Coughing / Throat irritation;Breathing problems / Asthma;Eye irritation;Skin problems","4 : Very concerned"
"2025/08/03 4:44:57 pm GMT+5:30","HYDERABAD","YES","The air quality is very bad/unhealthy.","Coughing / Throat irritation;Breathing problems / Asthma;Eye irritation;Skin problems","4 : Very concerned"
"2025/08/03 5:14:15 pm GMT+5:30","HYDERABAD ","YES","I'm not sure.","Breathing problems / Asthma;Heart-related issues;Skin problems","4 : Very concerned"
"2025/08/03 7:28:11 pm GMT+5:30","MAISAMMAGUDA ","NO","I'm not sure.","Coughing / Throat irritation;Breathing problems / Asthma","4 : Very concerned"
"2025/08/03 7:30:18 pm GMT+5:30","HYDERABAD ","YES","I'm not sure.","Coughing / Throat irritation;Breathing problems / Asthma;Eye irritation;Heart-related issues;Skin problems","4 : Very concerned"
"2025/08/03 7:32:32 pm GMT+5:30","HYDERABAD ","YES","I'm not sure.","Coughing / Throat irritation","3 : Moderately concerned"
"2025/08/03 7:34:17 pm GMT+5:30","Hyderabad ","YES","The air quality is very good.","Breathing problems / Asthma","3 : Moderately concerned"
"2025/08/03 7:39:01 pm GMT+5:30","HYDERABAD","NO","I'm not sure.","Coughing / Throat irritation;Eye irritation;Skin problems","4 : Very concerned"
"2025/08/03 7:48:35 pm GMT+5:30","HYDERABAD","NO","The air quality is very good.","Coughing / Throat irritation;Breathing problems / Asthma;Eye irritation","4 : Very concerned"
"2025/08/03 7:49:27 pm GMT+5:30","HYDERABAD","YES","The air quality is very bad/unhealthy.","Coughing / Throat irritation;Breathing problems / Asthma","4 : Very concerned"
"2025/08/03 7:50:01 pm GMT+5:30","HYDERABAD","YES","The air quality is very bad/unhealthy.","Eye irritation;Heart-related issues;Skin problems","3 : Moderately concerned"
"2025/08/03 7:50:46 pm GMT+5:30","HYDERABAD","YES","The air quality is very bad/unhealthy.","Eye irritation;Heart-related issues","4 : Very concerned"
"2025/08/03 7:54:07 pm GMT+5:30","KOMPALLY ","YES","The air quality is very bad/unhealthy.","Coughing / Throat irritation;Breathing problems / Asthma","2 : Slightly concerned"
"2025/08/03 7:54:33 pm GMT+5:30","Hyderabad ","YES","The air quality is very bad/unhealthy.","Coughing / Throat irritation;Breathing problems / Asthma;Eye irritation;Skin problems","3 : Moderately concerned"
"2025/08/03 8:03:47 pm GMT+5:30","HYDERABAD ","YES","The air quality is very bad/unhealthy.","Coughing / Throat irritation;Breathing problems / Asthma;Eye irritation;Heart-related issues;Skin problems","4 : Very concerned"
"2025/08/03 11:41:13 pm GMT+5:30","HYDERABAD ","YES","The air quality is very bad/unhealthy.","Coughing / Throat irritation;Breathing problems / Asthma;Eye irritation;Heart-related issues;Skin problems","4 : Very concerned"
"2025/08/04 7:43:19 am GMT+5:30","HYD","NO","The air quality is very good.","Coughing / Throat irritation;Breathing problems / Asthma;Eye irritation;Heart-related issues;Skin problems","5 : Extremely concerned"
"2025/08/04 9:21:59 am GMT+5:30","HYDERABAD ","YES","The air quality is very good.","Coughing / Throat irritation;I'm not sure","4 : Very concerned"
"2025/08/04 10:52:18 am GMT+5:30","Hyderabad ","NO","The air quality is very good.","Skin problems","3 : Moderately concerned"
"2025/08/04 11:46:56 am GMT+5:30","Hyderabad ","YES","The air quality is very bad/unhealthy.","Coughing / Throat irritation;Breathing problems / Asthma;Eye irritation;Heart-related issues;Skin problems","4 : Very concerned"
"2025/08/04 11:58:25 am GMT+5:30","KPHB","YES","The air quality is very bad/unhealthy.","Coughing / Throat irritation;Breathing problems / Asthma;Eye irritation;Heart-related issues;Skin problems","5 : Extremely concerned"
"2025/08/04 12:01:16 pm GMT+5:30","MAISAMMAGUDA ","NO","I'm not sure.","Coughing / Throat irritation;Breathing problems / Asthma;Skin problems","5 : Extremely concerned"
"2025/08/04 12:07:02 pm GMT+5:30","HYDERABAD ","NO","The air quality is very bad/unhealthy.","Coughing / Throat irritation;Breathing problems / Asthma;Heart-related issues","3 : Moderately concerned"
"2025/08/04 12:08:06 pm GMT+5:30","HYDERABAD ","NO","I'm not sure.","I'm not sure","5 : Extremely concerned"
"2025/08/04 12:17:10 pm GMT+5:30","Hyderabad","NO","I'm not sure.","Heart-related issues;Skin problems","4 : Very concerned"
"2025/08/04 12:18:32 pm GMT+5:30","HYD","YES","The air quality is very good.","Coughing / Throat irritation;Breathing problems / Asthma;Eye irritation;Skin problems","3 : Moderately concerned"
"2025/08/04 12:19:03 pm GMT+5:30","HYD ","YES","The air quality is very bad/unhealthy.","Coughing / Throat irritation;Breathing problems / Asthma","2 : Slightly concerned"
"2025/08/04 1:56:46 pm GMT+5:30","HYDERABAD ","YES","The air quality is very good.","Coughing / Throat irritation;Breathing problems / Asthma;Eye irritation;Skin problems","3 : Moderately concerned"
"2025/08/04 5:34:38 pm GMT+5:30","HYDERABAD","YES","I'm not sure.","Coughing / Throat irritation;Breathing problems / Asthma;Heart-related issues;Skin problems","4 : Very concerned"
"2025/08/04 8:46:04 pm GMT+5:30","Kukatpally","NO","The air quality is very good.","Coughing / Throat irritation;Breathing problems / Asthma","1 : Not at all concerned"
"2025/08/04 8:47:31 pm GMT+5:30","HITECH CITY","YES","I'm not sure.","Coughing / Throat irritation;Breathing problems / Asthma","2 : Slightly concerned"
"2025/08/04 8:48:39 pm GMT+5:30","JUBILEE HILLS","YES","The air quality is very bad/unhealthy.","Coughing / Throat irritation;Breathing problems / Asthma","4 : Very concerned"
"2025/08/05 8:39:43 am GMT+5:30","TUKARAMGATE","YES","The air quality is very good.","Coughing / Throat irritation;Breathing problems / Asthma;Eye irritation;Skin problems","3 : Moderately concerned"
"2025/08/05 10:04:27 am GMT+5:30","MYSAMMAGUDA","YES","The air quality is very bad/unhealthy.","Coughing / Throat irritation;Breathing problems / Asthma;Eye irritation;Skin problems","4 : Very concerned"
"2025/08/05 10:06:42 am GMT+5:30","HYDERABAD","YES","The air quality is very bad/unhealthy.","Coughing / Throat irritation;Breathing problems / Asthma;Eye irritation;Heart-related issues;Skin problems","4 : Very concerned"
"2025/08/05 10:07:23 am GMT+5:30","HYDERABAD ","YES","I'm not sure.","Breathing problems / Asthma","4 : Very concerned"
"2025/08/05 10:32:51 pm GMT+5:30","HYDERABAD ","NO","I'm not sure.","Coughing / Throat irritation;Breathing problems / Asthma;Eye irritation;Heart-related issues;Skin problems","5 : Extremely concerned"